057620000036G5030;Zur Diemelmühle
057620000036G5040;Zur Fränke
057620000036G5050;Zur Guten
057620000036G5060;Zur Höte
057620000036G5070;Zur Kerne
057620000036G5080;Zur Kohlwiese
057620000036G5090;Zur Linde
057620000036G5100;Zur Luhmühle
057620000036G5110;Zur Märk
057620000036G5120;Zur Mühle
057620000036G5130;Zur Regentenhöhe
057620000036G5140;Zur Schanze
057620000036G5150;Zur Storchskuhle
057620000036G5160;Zur Uhlenburg
057620000036G5170;Zur Vogelsmühle
057620000036G5180;Zur Wäsche
057620000036G5190;Zwischen den Städten
057620000036G5200;An den Bruchgärten
057620000036G5210;Emil-Hertz-Platz
057620000036G5220;Hinter der Hecke
057620000036L8385;An der heiligen Eiche
057620000036L8395;Auf'm Felde
057620000036L8411;Im Bessel
057620000036L8422;In der Schlägerei
057620000036L8423;Laakebreite
057620000036L8432;Obernwiese
057620000036L8438;R 51 Detmold-Volkmarsen
057620000036L8471;An der kleinen Worth
057620000036L8480;Asseler Feld
057620000036L8481;Asseler Holz
057620000036L8527;In der Schlo
057620000036L8529;Kleine Worth
057620000036L8540;Pfennigsmühle
057620000036L8541;Rabensberg
057620000036L8544;Trift
057620000036L8547;Über den langen Kämpen
057620000036L8580;An der Straße nach Hörle
057620000036L8584;Beim roten Kreuze
057620000036L8585;Breide
057620000036L8600;Hoppenberg
057620000036L8603;Iberger Feld
057620000036L8611;Kohlwiesen
057620000036L8630;Siebenäcker
057620000036L8631;Siekerfeld
057620000036L8642;Wallraben
057620000036L8646;Wellerberg
057620000036L8667;Am Büel
057620000036L8676;Auf der Besseburg
057620000036L8679;Auf der Hellbeke
057620000036L8696;Die Lindenhöfe
057620000036L8704;Heckebusch
057620000036L8707;Hinter den Höfen
057620000036L8708;Hinter der Landwehr
057620000036L8713;Im Graben
057620000036L8723;Mastfeld
057620000036L8725;Mühlengraben
057620000036L8730;Rosengarten
057620000036L8731;Rottwiesen
057620000036L8743;Vor den Kespöhlen
057620000036L8746;Vor'm Anger
057620000036L8748;Weiße Holz
057620000036L8803;Brokholz
057620000036L8814;Im Schufeln
057620000036L8815;Im Vogelsange
057620000036L8848;Vor dem Nörder Holze
057620000036L8878;An der Detmarser Trift
057620000036L8898;Engarer Kämpe
057620000036L8903;Hainanger
057620000036L8933;Rappien
057620000036L8936;Riepenpatt
057620000036L8942;Steinkamp
057620000036L8948;Walmenwiese
057620000036L8970;Am Koppental
057620000036L8974;Am Walde
057620000036L8976;Auf'm Plan
057620000036L8977;Auf dem Haken
057620000036L8979;Bei der Vogelkuhle
057620000036L8981;Friedhof
057620000036L8982;In der hinteren Laue
057620000036L8984;Kleine Feld
057620000036L8998;Vor dem Papenwege
057620000036L8999;Waldbreite
057620000036L9073;Am Heidwege
057620000036L9076;Am Horenberg
057620000036L9081;Am Menner Wege
057620000036L9097;An der Wegebrinks Kuhle
057620000036L9102;An der Feldscheide
057620000036L9117;An der vorderen Twete
057620000036L9125;Auf dem Stapelberge
057620000036L9136;Auf Kochsberg
057620000036L9138;Auf'm Profit
057620000036L9146;Beim Dösseler Stein
057620000036L9168;Diemel
057620000036L9171;Eckanger
057620000036L9172;Eckenkamp
057620000036L9182;Hellegraben
057620000036L9188;Hinter dem Heinberge
057620000036L9206;Im Polas
057620000036L9211;Im Wolfsbusche
057620000036L9228;Koppelberg
057620000036L9236;Masch
057620000036L9245;Obere Hilgenstock
057620000036L9251;Papenheimer Kirche
057620000036L9271;Silberbrede
057620000036L9280;Untere Twete
057620000036L9283;Unterm Stiepenwege
057620000036L9284;Paderborn-Kassel
057620000036L9339;Auf'n Anger
057620000036L9343;Diebeskuhle
057620000036L9360;Im Bohme
057620000036L9370;Kleine Schafrücken
057620000036L9378;Laubusch
057620000036L9387;Totenköppe
057620000036L9429;Lange Wanne
057620000036L9437;Totenbreite
057620000036L9440;Vosshöhlen
057620000036L9461;An der Seite
057620000036L9466;Auf der Höhe
057620000036L9486;Die Brückwiesen
057620000036L9488;Die Walme
057620000036L9497;Hinter'm Kohmarkt
057620000036L9498;Hinterm Burghof
057620000036L9509;Lingen Wiesen
057620000036L9516;Peckelsheimer Berg
057620000036L9524;Strohberg
057620000036L9540;Ziegenwinkel
057620000036L9557;Am Dorfe
057620000036L9598;Schiebe Berg
057620000036L9625;Am Brunnen
057620000036L9629;An der blinden Trift
057620000036L9631;An der Warth
057620000036L9632;Auf den Wolwers Zangen
057620000036L9649;Hoppenberg
057620000036L9654;Kälberkamp
057620000036L9658;Krumme Wiese
057620000036L9667;Stieghöfe
057620000036L9679;Weinberg
057620000036L9694;Der Gradt
057620000036L9705;Am Jägerpfade
057620000036L9723;Auf der Klus
057620000036L9733;Der kleine Knechteberg
057620000036L9735;Das rote Bruch
057620000036L9736;Der Bentenberg
057620000036L9739;Der Marksberg
057620000036L9760;Försterei Mittelwald
057620000036L9762;Franzenhöhlen
057620000036L9768;Hardehausen
057620000036L9769;Hardehauser Hammer
057620000036L9770;Hausstätte
057620000036L9771;Heiden Läger
057620000036L9775;Heubusch
057620000036L9784;Im Knick
057620000036L9789;Kakelsburg
057620000036L9803;Kuhmarkt
057620000036L9815;Neue Wiese
057620000036L9821;Rote Wiese
057620000036L9823;Rottberg
057620000036L9825;Sandbreite
057620000036L9836;Springhöfe
057620000036L9849;Hagen-Warburg
057620000036L9884;Auf dem Schönenberge
057620000036L9886;Auf der Brede
057620000036L9889;Bollees
057620000036L9890;Clasenberg
057620000036L9903;Rauten
057620000036L9905;Steinkuhle
057620000036L9940;Steinbreite
057620000036L9950;Mühlenbreite
057620000036L9960;Klusangel
057620000036L9962;Kirchgrund
057620000036L9967;Hohe Schule
057620000036L9969;Höte
057620000036L9976;Galgenwanne
057620000036L9981;Eckensteinsfeld
057620000036L9982;Dorning
057620000036L9989;Burwiesen
057620000036L9990;Bruchfeld
057620000036L9999;Am Desenberg
